order_id,customer_id,order_date,channel,store_id,promo_id,status
O000138,C03930,2024-02-28,Click & Collect,S009,,Delivered
O000139,C00281,2022-07-10,In-Store,S006,,Delivered
O000140,C00625,2023-09-12,Click & Collect,S010,,Delivered
O000141,C03214,2023-11-10,In-Store,S004,,Delivered
O000142,C03859,2022-05-21,Online,,,Delivered
O000143,C00174,2024-11-25,In-Store,S011,,Delivered
O000144,C03003,2023-07-19,Online,,,Delivered
O000145,C02205,2023-05-06,Click & Collect,S006,,Delivered
O000146,C03324,2024-07-05,Online,,PR006,Delivered
O000147,C01546,2024-07-18,Click & Collect,S009,,Cancelled
O000148,C01771,2023-05-08,In-Store,S007,,Delivered
O000149,C04870,2024-06-17,In-Store,S002,,Delivered
O000150,C02990,2024-11-06,In-Store,S008,,Delivered
O000151,C04607,2023-04-02,In-Store,S003,,Delivered
O000152,C03905,2024-01-03,In-Store,S002,,Delivered
O000153,C03376,2022-12-08,Online,,,Delivered
O000154,C01931,2024-06-29,In-Store,S003,PR006,Returned
O000155,C02807,2024-05-04,In-Store,S008,,Delivered
O000156,C00385,2023-07-07,In-Store,S001,PR003,Delivered
O000157,C00251,2024-08-12,Online,,,Delivered
O000158,C01809,2024-12-09,Online,,,Delivered
O000159,C00481,2023-08-18,Online,,,Delivered
O000160,C00105,2023-05-29,In-Store,S003,,Returned
O000161,C04713,2023-05-12,Click & Collect,S011,,Delivered
O000162,C02468,2024-01-08,Online,,,Delivered
O000163,C00456,2024-10-22,In-Store,S002,,Delivered
O000164,C02662,2023-05-25,Click & Collect,S012,,Returned
O000165,C04037,2024-10-29,In-Store,S001,,Delivered
O000166,C01610,2023-09-19,In-Store,S007,,Delivered
O000167,C01501,2024-11-25,Online,,,Delivered
O000168,C00808,2023-03-30,Click & Collect,S004,,Delivered
O000169,C01482,2023-04-17,Online,,,Delivered
O000170,C03067,2023-09-11,In-Store,S001,,Delivered
O000171,C02921,2023-04-30,In-Store,S010,,Cancelled
O000172,C02451,2023-11-30,Online,,,Delivered
O000173,C01079,2023-04-20,Click & Collect,S001,,Returned
O000174,C02862,2023-11-14,Online,,,Cancelled
O000175,C03363,2022-11-11,Online,,,Delivered
O000176,C02562,2022-04-18,Online,,,Delivered
O000177,C00634,2024-11-02,Online,,,Cancelled
O000178,C04857,2022-08-03,Online,,,Delivered
O000179,C00805,2024-11-17,Online,,,Delivered
O000180,C00726,2024-06-01,In-Store,S007,,Returned
O000181,C04844,2023-08-07,In-Store,S009,,Delivered
O000182,C00281,2022-01-25,Online,,,Delivered
O000183,C01583,2024-08-25,In-Store,S001,,Delivered
O000184,C03280,2024-11-01,Click & Collect,S010,,Delivered
O000185,C04978,2024-06-06,In-Store,S005,,Delivered
O000186,C01104,2024-11-19,Click & Collect,S007,,Delivered
O000187,C04057,2024-09-12,In-Store,S007,,Delivered
O000188,C01177,2023-08-30,Online,,,Delivered
O000189,C00299,2024-11-08,In-Store,S004,,Delivered
O000190,C01107,2023-11-04,In-Store,S001,,Delivered
O000191,C01831,2023-10-03,Online,,,Returned
O000192,C01251,2024-12-10,In-Store,S006,,Delivered
O000193,C03050,2024-01-12,In-Store,S002,,Delivered
O000194,C00357,2024-10-18,Click & Collect,S011,,Delivered
O000195,C01473,2022-10-27,In-Store,S009,,Delivered
O000196,C01587,2024-05-02,Online,,,Delivered
O000197,C02127,2024-11-11,In-Store,S007,,Delivered
O000198,C00630,2024-04-29,Online,,,Delivered
O000199,C02160,2024-08-14,In-Store,S011,,Delivered
O000200,C03721,2024-12-06,Online,,,Delivered
O000201,C03983,2024-12-16,In-Store,S004,,Delivered
O000202,C02557,2023-10-18,Online,,,Delivered
O000203,C00392,2024-03-02,Online,,,Delivered
O000204,C02898,2024-01-25,In-Store,S003,,Delivered
O000205,C03685,2023-01-23,In-Store,S010,,Returned
O000206,C00729,2024-03-22,In-Store,S005,,Delivered
O000207,C04560,2023-12-10,Click & Collect,S007,,Delivered
O000208,C02420,2024-08-30,Online,,,Delivered
O000209,C02302,2024-09-30,In-Store,S008,,Delivered
O000210,C02540,2023-12-23,Click & Collect,S001,,Delivered
O000211,C04701,2024-08-22,Click & Collect,S005,,Delivered
O000212,C02922,2024-09-30,In-Store,S005,,Delivered
O000213,C04626,2024-11-28,Click & Collect,S006,,Returned
O000214,C00218,2024-11-02,In-Store,S001,,Delivered
O000215,C04653,2023-09-14,In-Store,S003,,Delivered
O000216,C04589,2024-02-26,In-Store,S006,,Cancelled
O000217,C03926,2024-04-26,In-Store,S011,,Delivered
O000218,C01876,2023-10-17,Online,,,Returned
O000219,C03222,2024-02-01,In-Store,S005,,Delivered
O000220,C00833,2023-08-30,In-Store,S006,,Delivered
O000221,C00812,2024-11-25,In-Store,S012,,Delivered
O000222,C00449,2024-09-04,Click & Collect,S007,,Cancelled
O000223,C00911,2024-10-17,Online,,,Delivered
O000224,C04603,2023-09-27,Click & Collect,S012,,Delivered
O000225,C04556,2024-07-03,In-Store,S009,PR006,Delivered
O000226,C04594,2024-04-09,Online,,,Returned
O000227,C04336,2023-10-22,Click & Collect,S008,,Returned
O000228,C02973,2023-08-14,Online,,,Delivered
O000229,C04842,2023-11-19,In-Store,S005,,Delivered
O000230,C00555,2023-05-10,Click & Collect,S003,,Delivered
O000231,C01433,2024-03-18,Online,,,Delivered
O000232,C01516,2024-04-28,Online,,,Delivered
O000233,C04442,2024-04-03,Click & Collect,S002,,Delivered
O000234,C03924,2023-06-20,Online,,,Delivered
O000235,C01245,2022-02-02,Online,,,Delivered
O000236,C03239,2022-02-16,Online,,,Delivered
O000237,C02618,2023-12-07,In-Store,S008,,Delivered
O000238,C04680,2023-02-11,In-Store,S008,,Delivered
O000239,C01197,2023-12-04,Online,,,Delivered
O000240,C03208,2024-07-22,In-Store,S007,,Delivered
O000241,C02390,2023-05-31,Online,,,Delivered
O000242,C04736,2023-11-23,Click & Collect,S009,,Delivered
O000243,C04274,2024-09-01,Online,,,Delivered
O000244,C00054,2023-08-31,Click & Collect,S009,,Delivered
O000245,C01313,2024-11-04,In-Store,S004,,Delivered
O000246,C02720,2024-10-18,Online,,,Cancelled
O000247,C01704,2022-05-02,In-Store,S008,,Delivered
O000248,C04334,2024-10-06,Click & Collect,S011,,Delivered
O000249,C03743,2024-05-29,In-Store,S007,,Delivered
O000250,C03248,2024-10-07,Click & Collect,S007,,Delivered
O000251,C02071,2022-05-12,In-Store,S007,,Delivered
O000252,C04525,2022-09-02,In-Store,S002,,Delivered
O000253,C00030,2024-03-30,Online,,,Delivered
O000254,C04696,2024-09-21,In-Store,S004,,Delivered
O000255,C04528,2023-10-14,Click & Collect,S004,,Cancelled
O000256,C02508,2024-03-10,Online,,PR005,Delivered
O000257,C03567,2024-03-24,In-Store,S009,,Delivered
O000258,C04814,2022-10-30,Online,,,Returned
O000259,C03858,2024-11-23,In-Store,S005,,Delivered
O000260,C01804,2024-08-13,Online,,,Delivered
O000261,C02671,2024-07-28,In-Store,S008,,Delivered
O000262,C02715,2024-08-15,Online,,,Delivered
O000263,C02922,2024-12-05,Online,,,Delivered
O000264,C04211,2024-10-10,In-Store,S012,,Delivered
O000265,C04062,2023-07-30,Online,,,Delivered
O000266,C03926,2024-02-03,Click & Collect,S003,,Delivered
O000267,C01193,2024-11-17,In-Store,S009,,Delivered
O000268,C02116,2024-10-17,In-Store,S007,,Delivered
O000269,C00034,2024-08-21,In-Store,S010,,Delivered
O000270,C02070,2023-12-26,Click & Collect,S001,,Delivered
O000271,C02334,2024-02-21,In-Store,S006,,Cancelled
O000272,C02123,2024-04-04,In-Store,S009,,Delivered
O000273,C04965,2024-12-16,In-Store,S006,,Delivered
O000274,C02535,2023-08-29,In-Store,S008,,Delivered
O000275,C03815,2024-04-25,Click & Collect,S011,,Delivered
O000276,C04380,2023-05-29,Online,,,Delivered
O000277,C04816,2024-12-30,Click & Collect,S006,,Shipped
O000278,C01133,2024-12-10,In-Store,S004,,Delivered
O000279,C03691,2024-11-14,In-Store,S004,,Delivered
O000280,C00614,2023-07-27,In-Store,S001,,Delivered
O000281,C01219,2024-08-10,Online,,,Delivered
O000282,C02953,2024-12-18,In-Store,S007,,Delivered
O000283,C01209,2024-08-25,In-Store,S001,,Delivered
O000284,C01384,2024-09-07,Click & Collect,S011,,Delivered
O000285,C02035,2024-12-15,Online,,,Delivered
O000286,C04094,2024-02-04,In-Store,S011,,Delivered
O000287,C02154,2024-04-21,In-Store,S012,,Delivered
O000288,C01165,2024-05-10,In-Store,S003,,Returned
O000289,C03069,2024-08-15,In-Store,S008,,Delivered
O000290,C03787,2022-03-05,Online,,,Delivered
O000291,C04785,2024-12-04,Online,,,Delivered
O000292,C00606,2023-02-01,In-Store,S004,,Delivered
O000293,C04993,2022-11-11,Click & Collect,S004,,Delivered
O000294,C01032,2022-11-03,In-Store,S008,,Delivered
O000295,C04436,2024-10-31,In-Store,S009,,Returned
O000296,C04248,2022-02-22,Click & Collect,S003,,Delivered
O000297,C02655,2023-02-12,Online,,,Delivered
O000298,C04485,2024-10-03,In-Store,S012,,Delivered
O000299,C00434,2024-06-07,Click & Collect,S009,,Delivered
O000300,C00503,2024-10-25,In-Store,S003,,Returned
O000301,C03259,2024-11-21,Online,,,Delivered
O000302,C02151,2023-05-08,In-Store,S006,,Delivered
O000303,C04558,2024-07-29,In-Store,S001,,Returned
O000304,C03981,2023-06-30,Online,,PR003,Delivered
O000305,C02337,2023-12-15,Online,,,Cancelled
O000306,C02406,2024-04-24,Online,,,Cancelled
O000307,C00420,2024-05-13,Click & Collect,S008,,Delivered
O000308,C02851,2024-03-02,Online,,,Delivered
O000309,C03460,2024-04-22,In-Store,S008,,Delivered
O000310,C02113,2024-12-27,Online,,,Processing
O000311,C01538,2023-01-26,In-Store,S010,,Delivered
O000312,C03087,2024-12-29,Click & Collect,S006,,Processing
O000313,C04229,2023-10-23,Online,,,Delivered
O000314,C00370,2024-11-11,Online,,,Delivered
O000315,C02600,2022-10-25,In-Store,S002,,Delivered
O000316,C04245,2024-07-08,Click & Collect,S009,,Delivered
O000317,C03719,2023-02-11,In-Store,S009,,Delivered
O000318,C01100,2024-01-28,Online,,,Delivered
O000319,C04490,2022-07-28,Online,,,Delivered
O000320,C02415,2024-01-03,Click & Collect,S002,,Delivered
O000321,C01477,2022-06-15,Online,,,Delivered
O000322,C01483,2024-09-24,Click & Collect,S007,,Delivered
O000323,C04299,2024-11-10,Online,,,Delivered
O000324,C00035,2023-04-20,Click & Collect,S003,,Delivered
O000325,C04764,2023-05-13,Click & Collect,S009,,Delivered
O000326,C04326,2024-10-11,In-Store,S004,,Delivered
O000327,C01084,2024-11-01,Click & Collect,S001,,Cancelled
O000328,C00837,2023-06-24,In-Store,S008,,Delivered
O000329,C01444,2024-11-15,In-Store,S008,,Delivered
O000330,C00862,2024-05-23,Online,,,Delivered
O000331,C00390,2023-11-28,Online,,,Returned
O000332,C00236,2023-12-20,In-Store,S009,,Delivered
O000333,C04287,2024-08-03,In-Store,S006,,Delivered
O000334,C04364,2023-08-10,Online,,,Delivered
O000335,C04427,2024-10-10,In-Store,S012,,Delivered
O000336,C00138,2023-09-16,Click & Collect,S009,,Delivered
O000337,C03861,2024-05-10,In-Store,S001,,Delivered
O000338,C03958,2023-11-17,Click & Collect,S008,,Cancelled
O000339,C03017,2024-09-10,Click & Collect,S003,,Delivered
O000340,C01745,2024-12-08,In-Store,S008,,Delivered
O000341,C00186,2024-12-02,In-Store,S001,PR007,Delivered
O000342,C03754,2024-04-23,Online,,,Delivered
O000343,C02813,2023-06-04,Online,,,Cancelled
O000344,C01870,2023-03-01,Online,,,Delivered
O000345,C03455,2024-04-01,In-Store,S011,,Delivered
O000346,C01847,2024-11-08,In-Store,S001,,Delivered
O000347,C03080,2022-10-22,Online,,,Delivered
O000348,C02999,2024-11-08,In-Store,S004,,Delivered
O000349,C04191,2024-10-27,Online,,,Delivered
O000350,C00209,2023-12-05,In-Store,S012,,Delivered
O000351,C03630,2022-12-06,In-Store,S005,,Returned
O000352,C03007,2022-11-30,Online,,,Delivered
O000353,C02567,2024-03-06,In-Store,S012,,Delivered
O000354,C01221,2022-05-03,Online,,,Delivered
O000355,C02147,2024-08-06,In-Store,S009,,Delivered
O000356,C01417,2023-02-15,In-Store,S005,,Delivered
O000357,C02964,2024-11-27,Online,,,Delivered
O000358,C01261,2024-08-10,Online,,,Delivered
O000359,C04116,2024-07-22,Online,,,Delivered
O000360,C01670,2024-12-12,Online,,,Delivered
O000361,C04556,2024-07-20,In-Store,S010,,Delivered
O000362,C00883,2022-03-15,Online,,,Delivered
O000363,C03624,2022-12-08,In-Store,S011,,Delivered
O000364,C00567,2024-12-27,Click & Collect,S004,,Shipped
O000365,C01302,2024-04-10,Click & Collect,S005,,Cancelled
O000366,C02098,2024-10-05,In-Store,S001,,Delivered
O000367,C01712,2024-09-20,Click & Collect,S011,,Delivered
O000368,C00450,2024-08-30,In-Store,S008,,Cancelled
O000369,C04893,2023-11-04,In-Store,S012,,Delivered
O000370,C00073,2022-02-24,Click & Collect,S002,,Delivered
O000371,C01496,2023-03-19,Click & Collect,S007,PR002,Delivered
O000372,C04311,2024-07-21,Click & Collect,S003,,Delivered
O000373,C01159,2024-07-27,Online,,,Delivered
O000374,C04720,2024-03-19,Click & Collect,S005,,Delivered
O000375,C04446,2024-11-07,In-Store,S008,,Delivered
O000376,C02550,2024-11-04,In-Store,S009,,Delivered
O000377,C01382,2023-11-23,In-Store,S002,,Delivered
O000378,C02207,2023-08-05,In-Store,S003,,Delivered
O000379,C03123,2022-10-22,In-Store,S001,,Delivered
O000380,C01897,2024-11-29,Click & Collect,S001,PR007,Delivered
O000381,C03084,2024-09-15,In-Store,S012,,Delivered
O000382,C00454,2023-10-28,In-Store,S001,,Cancelled
O000383,C02955,2024-09-01,Online,,,Delivered
O000384,C03882,2024-08-07,In-Store,S003,,Delivered
O000385,C03172,2024-07-14,Online,,,Delivered
O000386,C00548,2024-07-04,Online,,PR006,Delivered
O000387,C04513,2024-02-19,In-Store,S012,,Delivered
O000388,C00435,2022-07-05,In-Store,S002,,Delivered
O000389,C01962,2022-05-08,Click & Collect,S010,,Delivered
O000390,C02009,2024-04-10,In-Store,S009,,Delivered
O000391,C03321,2024-09-19,Click & Collect,S002,,Delivered
O000392,C02669,2024-01-02,In-Store,S012,,Delivered
O000393,C03840,2023-11-21,In-Store,S010,,Delivered
O000394,C03128,2024-12-30,Online,,,Shipped
O000395,C01413,2023-12-18,In-Store,S012,,Delivered
O000396,C03956,2023-03-15,Click & Collect,S012,PR002,Delivered
O000397,C00992,2023-01-05,Online,,,Returned
O000398,C04546,2024-11-21,Click & Collect,S003,,Delivered
O000399,C01216,2024-07-04,In-Store,S004,PR006,Delivered
O000400,C02958,2024-10-29,Online,,,Delivered
O000401,C03870,2023-10-27,In-Store,S001,,Delivered
O000402,C03561,2023-04-06,In-Store,S012,,Delivered
O000403,C02263,2024-05-19,In-Store,S009,,Delivered
O000404,C01523,2024-08-20,In-Store,S004,,Delivered
O000405,C02095,2024-04-10,Click & Collect,S008,,Delivered
O000406,C02113,2024-02-09,Online,,,Delivered
O000407,C03921,2024-01-24,Online,,,Delivered
O000408,C02935,2023-04-06,Click & Collect,S007,,Delivered
O000409,C04365,2024-03-18,Online,,,Returned
O000410,C01795,2024-12-12,Online,,,Delivered
O000411,C01880,2024-12-21,In-Store,S012,,Delivered
O000412,C02558,2022-12-17,Online,,,Returned
O000413,C01619,2023-03-28,In-Store,S011,,Delivered
O000414,C00676,2023-08-27,In-Store,S009,,Delivered
O000415,C03045,2024-12-20,In-Store,S007,,Delivered
O000416,C02921,2023-04-12,Click & Collect,S003,,Delivered
O000417,C01289,2024-08-03,Online,,,Delivered
O000418,C04337,2024-03-19,Online,,,Cancelled
O000419,C01811,2024-07-24,In-Store,S011,,Delivered
O000420,C04765,2024-05-11,In-Store,S002,,Delivered
O000421,C02439,2024-05-16,Online,,,Delivered
O000422,C00730,2024-12-22,In-Store,S003,,Delivered
O000423,C03619,2023-09-11,In-Store,S007,,Delivered
O000424,C02625,2023-08-14,In-Store,S011,,Delivered
O000425,C04019,2024-07-11,Online,,,Delivered
O000426,C03832,2023-11-01,In-Store,S011,,Delivered
O000427,C03779,2023-02-24,Click & Collect,S003,,Returned
O000428,C04623,2023-03-14,Online,,,Delivered
O000429,C00274,2023-07-04,In-Store,S007,PR003,Delivered
O000430,C03843,2024-11-18,In-Store,S005,,Delivered
O000431,C04582,2022-10-07,In-Store,S008,,Delivered
O000432,C02668,2022-09-25,In-Store,S011,,Delivered
O000433,C02482,2024-08-17,In-Store,S009,,Delivered
O000434,C04329,2024-03-20,Online,,,Delivered
O000435,C00369,2023-05-12,Online,,,Delivered
O000436,C03908,2024-09-03,Online,,,Delivered
O000437,C04707,2024-09-16,In-Store,S006,,Delivered
O000438,C04613,2024-12-13,Online,,,Delivered
O000439,C01761,2023-04-18,Click & Collect,S007,,Delivered
O000440,C00213,2024-07-11,In-Store,S008,,Delivered
O000441,C03071,2022-04-23,Click & Collect,S002,,Delivered
O000442,C00297,2024-03-07,In-Store,S011,,Delivered
O000443,C03957,2022-01-16,In-Store,S010,,Returned
O000444,C02996,2023-01-02,Click & Collect,S002,,Delivered
O000445,C01151,2022-06-02,Online,,,Delivered
O000446,C03157,2024-11-10,Online,,,Delivered
O000447,C00269,2023-12-12,Click & Collect,S010,,Cancelled
O000448,C01377,2022-09-15,In-Store,S011,,Delivered
O000449,C01080,2023-11-23,In-Store,S010,,Returned
O000450,C04782,2024-11-08,In-Store,S012,,Returned
O000451,C02331,2024-03-06,In-Store,S012,,Delivered
O000452,C02944,2024-07-06,Online,,,Delivered
O000453,C00049,2024-12-23,In-Store,S002,,Returned
O000454,C00313,2024-12-13,Online,,,Delivered
O000455,C04839,2023-11-12,Click & Collect,S001,,Delivered
O000456,C03264,2023-06-20,Online,,,Delivered
O000457,C00132,2023-08-18,In-Store,S011,,Delivered
O000458,C02357,2024-09-02,In-Store,S002,,Delivered
O000459,C03284,2024-06-21,Online,,,Delivered
O000460,C03197,2024-04-16,In-Store,S007,,Delivered
O000461,C03384,2024-09-16,Online,,,Delivered
O000462,C02420,2024-02-26,Click & Collect,S008,,Cancelled
O000463,C02641,2022-10-31,Click & Collect,S006,,Delivered
O000464,C03199,2024-04-07,Online,,,Cancelled
O000465,C02949,2024-11-06,Online,,,Delivered
O000466,C01884,2023-10-04,Online,,,Delivered
O000467,C01854,2022-08-12,Online,,,Delivered
O000468,C03815,2024-07-30,In-Store,S012,,Delivered
O000469,C00941,2024-10-07,Online,,,Delivered
O000470,C04115,2022-08-12,Click & Collect,S011,,Delivered
O000471,C03346,2024-05-20,In-Store,S010,,Delivered
O000472,C01045,2024-05-04,In-Store,S009,,Delivered
O000473,C01222,2024-02-16,In-Store,S003,,Delivered
O000474,C03817,2024-08-23,In-Store,S009,,Delivered
O000475,C02995,2024-09-10,In-Store,S009,,Cancelled
O000476,C03104,2024-03-13,Online,,PR005,Delivered
O000477,C00648,2023-07-09,In-Store,S004,,Delivered
O000478,C01117,2024-08-30,In-Store,S001,,Delivered
O000479,C02345,2024-08-03,In-Store,S010,,Delivered
O000480,C01750,2022-10-29,In-Store,S008,,Delivered
O000481,C01991,2024-05-03,Click & Collect,S003,,Delivered
O000482,C04914,2024-07-19,In-Store,S009,,Delivered
O000483,C04193,2024-07-13,In-Store,S003,,Delivered
O000484,C01799,2024-11-07,Click & Collect,S010,,Delivered
O000485,C03691,2024-11-18,Click & Collect,S012,,Returned
O000486,C04067,2024-07-21,Online,,,Delivered
O000487,C03681,2023-12-31,Online,,,Delivered
O000488,C04125,2023-08-27,In-Store,S008,,Delivered
O000489,C02951,2024-06-01,In-Store,S001,,Returned
O000490,C01898,2024-07-09,Online,,,Returned
O000491,C02271,2024-03-24,In-Store,S002,,Cancelled
O000492,C03186,2024-11-11,In-Store,S002,,Delivered
O000493,C04334,2024-09-01,In-Store,S006,,Delivered
O000494,C01617,2024-05-10,Click & Collect,S004,,Returned
O000495,C03504,2024-05-16,In-Store,S010,,Delivered
